INFO flower 2021-04-09 22:24:53,337 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.51.49:48852
INFO flower 2021-04-09 22:24:53,345 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.29.34:43540
INFO flower 2021-04-09 22:24:53,353 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:24:53,388 | server_ssp.py:143 | server sends back ReadRes(clock=-1) to client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:24:59,340 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.25.48:51298
DEBUG flower 2021-04-09 22:24:59,356 | server_ssp.py:170 | time to evaluate. Evaluation interval
INFO flower 2021-04-09 22:25:00,073 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:00,169 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:00,174 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.58.46:49706
INFO flower 2021-04-09 22:25:00,639 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:25:00,723 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:25:00,723 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:25:01,472 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.43.33:52592
INFO flower 2021-04-09 22:25:01,619 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.43.33:52592
INFO flower 2021-04-09 22:25:01,625 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.43.33:52592
INFO flower 2021-04-09 22:25:01,711 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.31.32:35566
INFO flower 2021-04-09 22:25:01,862 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.31.32:35566
INFO flower 2021-04-09 22:25:01,935 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.31.32:35566
INFO flower 2021-04-09 22:25:02,259 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:25:02,399 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:25:02,404 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.48.49:57398
INFO flower 2021-04-09 22:25:04,657 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.1.40:50766
INFO flower 2021-04-09 22:25:04,797 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.1.40:50766
INFO flower 2021-04-09 22:25:04,802 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.1.40:50766
INFO flower 2021-04-09 22:25:05,599 | server_ssp.py:148 | server receives FitRes(clock=0) from client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:25:05,746 | server_ssp.py:124 | server starts round 1 for client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:25:05,746 | server_ssp.py:127 | server send FitIns(clock=1) to client ipv4:10.244.55.32:33414
INFO flower 2021-04-09 22:25:05,807 | server_ssp.py:148 | server receives FitRes(clock=1) from client ipv4:10.244.58.46:49706
