INFO flower 2021-04-06 10:13:39,752 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=19)
DEBUG flower 2021-04-06 10:13:40,909 | numpy_client.py:167 | fit, FitIns(clock=20)
DEBUG flower 2021-04-06 10:13:40,909 | numpy_client.py:242 | cached_clock: 14, curr_clock: 20
INFO flower 2021-04-06 10:13:40,909 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:14:30,648 | numpy_client.py:215 | read: ReadRes(clock=15)
DEBUG flower 2021-04-06 10:14:30,688 | numpy_client.py:167 | fit, FitIns(clock=20)
DEBUG flower 2021-04-06 10:14:30,689 | numpy_client.py:242 | cached_clock: 15, curr_clock: 20
INFO flower 2021-04-06 10:15:31,364 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=20)
DEBUG flower 2021-04-06 10:15:32,522 | numpy_client.py:167 | fit, FitIns(clock=21)
DEBUG flower 2021-04-06 10:15:32,522 | numpy_client.py:242 | cached_clock: 15, curr_clock: 21
INFO flower 2021-04-06 10:15:32,522 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:16:24,074 | numpy_client.py:215 | read: ReadRes(clock=16)
DEBUG flower 2021-04-06 10:16:24,116 | numpy_client.py:167 | fit, FitIns(clock=21)
DEBUG flower 2021-04-06 10:16:24,116 | numpy_client.py:242 | cached_clock: 16, curr_clock: 21
INFO flower 2021-04-06 10:17:25,061 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=21)
DEBUG flower 2021-04-06 10:17:26,212 | numpy_client.py:167 | fit, FitIns(clock=22)
DEBUG flower 2021-04-06 10:17:26,212 | numpy_client.py:242 | cached_clock: 16, curr_clock: 22
INFO flower 2021-04-06 10:17:26,212 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:18:16,891 | numpy_client.py:215 | read: ReadRes(clock=17)
DEBUG flower 2021-04-06 10:18:16,931 | numpy_client.py:167 | fit, FitIns(clock=22)
DEBUG flower 2021-04-06 10:18:16,932 | numpy_client.py:242 | cached_clock: 17, curr_clock: 22
INFO flower 2021-04-06 10:19:18,813 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=22)
DEBUG flower 2021-04-06 10:19:20,027 | numpy_client.py:167 | fit, FitIns(clock=23)
DEBUG flower 2021-04-06 10:19:20,027 | numpy_client.py:242 | cached_clock: 17, curr_clock: 23
INFO flower 2021-04-06 10:19:20,027 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:20:09,669 | numpy_client.py:215 | read: ReadRes(clock=18)
DEBUG flower 2021-04-06 10:20:09,710 | numpy_client.py:167 | fit, FitIns(clock=23)
DEBUG flower 2021-04-06 10:20:09,710 | numpy_client.py:242 | cached_clock: 18, curr_clock: 23
INFO flower 2021-04-06 10:21:11,260 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=23)
DEBUG flower 2021-04-06 10:21:12,422 | numpy_client.py:167 | fit, FitIns(clock=24)
DEBUG flower 2021-04-06 10:21:12,423 | numpy_client.py:242 | cached_clock: 18, curr_clock: 24
INFO flower 2021-04-06 10:21:12,423 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:22:02,760 | numpy_client.py:215 | read: ReadRes(clock=19)
DEBUG flower 2021-04-06 10:22:02,801 | numpy_client.py:167 | fit, FitIns(clock=24)
DEBUG flower 2021-04-06 10:22:02,801 | numpy_client.py:242 | cached_clock: 19, curr_clock: 24
INFO flower 2021-04-06 10:23:03,757 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=24)
DEBUG flower 2021-04-06 10:23:04,931 | numpy_client.py:167 | fit, FitIns(clock=25)
DEBUG flower 2021-04-06 10:23:04,931 | numpy_client.py:242 | cached_clock: 19, curr_clock: 25
INFO flower 2021-04-06 10:23:04,931 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:23:53,244 | numpy_client.py:215 | read: ReadRes(clock=20)
DEBUG flower 2021-04-06 10:23:53,285 | numpy_client.py:167 | fit, FitIns(clock=25)
DEBUG flower 2021-04-06 10:23:53,285 | numpy_client.py:242 | cached_clock: 20, curr_clock: 25
INFO flower 2021-04-06 10:24:54,056 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=25)
DEBUG flower 2021-04-06 10:24:55,222 | numpy_client.py:167 | fit, FitIns(clock=26)
DEBUG flower 2021-04-06 10:24:55,222 | numpy_client.py:242 | cached_clock: 20, curr_clock: 26
INFO flower 2021-04-06 10:24:55,222 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:25:40,835 | numpy_client.py:215 | read: ReadRes(clock=21)
DEBUG flower 2021-04-06 10:25:40,876 | numpy_client.py:167 | fit, FitIns(clock=26)
DEBUG flower 2021-04-06 10:25:40,876 | numpy_client.py:242 | cached_clock: 21, curr_clock: 26
INFO flower 2021-04-06 10:26:41,445 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=26)
DEBUG flower 2021-04-06 10:26:42,625 | numpy_client.py:167 | fit, FitIns(clock=27)
DEBUG flower 2021-04-06 10:26:42,625 | numpy_client.py:242 | cached_clock: 21, curr_clock: 27
INFO flower 2021-04-06 10:26:42,625 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:27:36,557 | numpy_client.py:215 | read: ReadRes(clock=22)
DEBUG flower 2021-04-06 10:27:36,597 | numpy_client.py:167 | fit, FitIns(clock=27)
DEBUG flower 2021-04-06 10:27:36,598 | numpy_client.py:242 | cached_clock: 22, curr_clock: 27
INFO flower 2021-04-06 10:28:37,860 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=27)
DEBUG flower 2021-04-06 10:28:39,009 | numpy_client.py:167 | fit, FitIns(clock=28)
DEBUG flower 2021-04-06 10:28:39,009 | numpy_client.py:242 | cached_clock: 22, curr_clock: 28
INFO flower 2021-04-06 10:28:39,009 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:29:29,450 | numpy_client.py:215 | read: ReadRes(clock=23)
DEBUG flower 2021-04-06 10:29:29,490 | numpy_client.py:167 | fit, FitIns(clock=28)
DEBUG flower 2021-04-06 10:29:29,490 | numpy_client.py:242 | cached_clock: 23, curr_clock: 28
INFO flower 2021-04-06 10:30:30,957 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=28)
DEBUG flower 2021-04-06 10:30:32,214 | numpy_client.py:167 | fit, FitIns(clock=29)
DEBUG flower 2021-04-06 10:30:32,214 | numpy_client.py:242 | cached_clock: 23, curr_clock: 29
INFO flower 2021-04-06 10:30:32,214 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:31:20,975 | numpy_client.py:215 | read: ReadRes(clock=24)
