INFO flower 2021-04-11 21:29:41,934 | server_ssp.py:140 | server receives FitRes(clock=14) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:42,009 | server_ssp.py:116 | server starts round 15 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:42,010 | server_ssp.py:119 | server send FitIns(clock=15) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:56,098 | server_ssp.py:140 | server receives FitRes(clock=15) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:56,177 | server_ssp.py:116 | server starts round 16 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:29:56,177 | server_ssp.py:119 | server send FitIns(clock=16) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:07,211 | server_ssp.py:140 | server receives FitRes(clock=3) from client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:30:07,299 | server_ssp.py:116 | server starts round 4 for client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:30:07,300 | server_ssp.py:119 | server send FitIns(clock=4) to client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:30:11,340 | server_ssp.py:140 | server receives FitRes(clock=16) from client ipv4:10.244.36.35:45822
DEBUG flower 2021-04-11 21:30:11,412 | server_ssp.py:162 | time to evaluate. Evaluation interval
INFO flower 2021-04-11 21:30:27,242 | server_ssp.py:191 | fit progress1: (1, 247.25759172439575, 0.093, 366.01842284947634)
INFO flower 2021-04-11 21:30:27,243 | server_ssp.py:116 | server starts round 17 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:27,243 | server_ssp.py:119 | server send FitIns(clock=17) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:42,132 | server_ssp.py:140 | server receives FitRes(clock=17) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:42,213 | server_ssp.py:116 | server starts round 18 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:42,213 | server_ssp.py:119 | server send FitIns(clock=18) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:43,268 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:43,311 | server_ssp.py:135 | server sends back ReadRes(clock=0) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:57,717 | server_ssp.py:140 | server receives FitRes(clock=18) from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:57,799 | server_ssp.py:116 | server starts round 19 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:57,799 | server_ssp.py:119 | server send FitIns(clock=19) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:58,892 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:30:58,892 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=0, min_clock=2
INFO flower 2021-04-11 21:31:02,758 | server_ssp.py:140 | server receives FitRes(clock=1) from client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:31:02,874 | server_ssp.py:116 | server starts round 2 for client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:31:02,874 | server_ssp.py:119 | server send FitIns(clock=2) to client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:31:05,314 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:31:05,314 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=0, min_clock=1
INFO flower 2021-04-11 21:31:26,228 | server_ssp.py:140 | server receives FitRes(clock=1) from client ipv4:10.244.55.36:50524
DEBUG flower 2021-04-11 21:31:26,229 | server_ssp.py:152 | time to evaluate. Clock updated
