DEBUG flower 2021-04-11 21:49:41,699 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:51:46,748 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:51:46,775 | numpy_client.py:228 | read: ReadRes(clock=7)
DEBUG flower 2021-04-11 21:51:46,816 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-11 21:51:46,816 | numpy_client.py:260 | cached_clock: 7, curr_clock: 9
INFO flower 2021-04-11 21:53:07,675 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=9)
DEBUG flower 2021-04-11 21:53:07,701 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:53:24,959 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:53:24,984 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-11 21:53:24,984 | numpy_client.py:260 | cached_clock: 7, curr_clock: 10
INFO flower 2021-04-11 21:53:24,985 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:53:25,001 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:55:12,212 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:55:12,241 | numpy_client.py:228 | read: ReadRes(clock=8)
DEBUG flower 2021-04-11 21:55:12,284 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-11 21:55:12,284 | numpy_client.py:260 | cached_clock: 8, curr_clock: 10
INFO flower 2021-04-11 21:56:32,368 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=10)
DEBUG flower 2021-04-11 21:56:32,387 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:56:33,546 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:56:33,563 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-11 21:56:33,563 | numpy_client.py:260 | cached_clock: 8, curr_clock: 11
INFO flower 2021-04-11 21:56:33,563 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:56:33,580 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:58:39,472 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:58:39,499 | numpy_client.py:228 | read: ReadRes(clock=9)
DEBUG flower 2021-04-11 21:58:39,541 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-11 21:58:39,542 | numpy_client.py:260 | cached_clock: 9, curr_clock: 11
INFO flower 2021-04-11 21:59:58,905 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=11)
DEBUG flower 2021-04-11 21:59:58,924 | app.py:66 | Waiting for message from server...
