INFO flower 2021-04-08 06:36:37,811 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.30.35:48388
INFO flower 2021-04-08 06:36:37,882 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.18.27:39920
INFO flower 2021-04-08 06:36:37,883 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.37.26:56408
INFO flower 2021-04-08 06:36:37,889 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.53.38:59352
INFO flower 2021-04-08 06:36:37,896 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.48.38:38158
INFO flower 2021-04-08 06:36:37,905 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.43.26:53654
INFO flower 2021-04-08 06:36:37,911 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.22.37:43532
INFO flower 2021-04-08 06:36:37,912 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.58.35:48306
INFO flower 2021-04-08 06:36:37,927 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.2.44:58464
INFO flower 2021-04-08 06:36:37,927 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.49.25:43952
INFO flower 2021-04-08 06:36:37,843 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.52.27:56532
INFO flower 2021-04-08 06:36:37,939 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.26.34:53284
INFO flower 2021-04-08 06:36:37,942 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.38.37:38950
INFO flower 2021-04-08 06:36:37,950 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.40.27:44682
INFO flower 2021-04-08 06:36:37,959 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.31.25:37408
INFO flower 2021-04-08 06:36:37,965 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.33.28:52496
INFO flower 2021-04-08 06:36:37,969 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.25.37:49890
INFO flower 2021-04-08 06:36:37,970 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.5.45:50714
INFO flower 2021-04-08 06:36:37,978 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.54.26:52218
INFO flower 2021-04-08 06:36:37,978 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.8.47:36710
INFO flower 2021-04-08 06:36:37,979 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.30.35:48388
INFO flower 2021-04-08 06:36:37,989 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.37.26:56408
INFO flower 2021-04-08 06:36:37,991 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.35.37:40150
INFO flower 2021-04-08 06:36:37,994 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.41.36:53154
INFO flower 2021-04-08 06:36:37,999 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.48.38:38158
INFO flower 2021-04-08 06:36:38,014 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.2.44:58464
INFO flower 2021-04-08 06:36:38,020 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.49.25:43952
INFO flower 2021-04-08 06:36:38,021 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.52.27:56532
INFO flower 2021-04-08 06:36:38,027 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.26.34:53284
INFO flower 2021-04-08 06:36:38,032 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.38.37:38950
INFO flower 2021-04-08 06:36:38,045 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.22.37:43532
INFO flower 2021-04-08 06:36:38,045 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.18.27:39920
INFO flower 2021-04-08 06:36:38,052 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.33.28:52496
INFO flower 2021-04-08 06:36:38,065 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.5.45:50714
INFO flower 2021-04-08 06:36:38,070 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.8.47:36710
INFO flower 2021-04-08 06:36:38,094 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.35.37:40150
INFO flower 2021-04-08 06:36:38,095 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.41.36:53154
INFO flower 2021-04-08 06:36:38,099 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.40.27:44682
INFO flower 2021-04-08 06:36:38,100 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.25.37:49890
INFO flower 2021-04-08 06:36:38,100 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.31.25:37408
INFO flower 2021-04-08 06:36:38,111 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.30.35:48388
