DEBUG flower 2021-04-10 16:02:21,734 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:03:14,560 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:03:14,561 | numpy_client.py:228 | read: ReadRes(clock=8)
DEBUG flower 2021-04-10 16:03:14,569 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-10 16:03:14,569 | numpy_client.py:260 | cached_clock: 8, curr_clock: 10
INFO flower 2021-04-10 16:03:18,016 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=10)
DEBUG flower 2021-04-10 16:03:18,016 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:03:18,038 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:03:18,039 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-10 16:03:18,039 | numpy_client.py:260 | cached_clock: 8, curr_clock: 11
INFO flower 2021-04-10 16:03:18,039 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:03:18,039 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:04:19,877 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:04:19,877 | numpy_client.py:228 | read: ReadRes(clock=9)
DEBUG flower 2021-04-10 16:04:19,885 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-10 16:04:19,885 | numpy_client.py:260 | cached_clock: 9, curr_clock: 11
INFO flower 2021-04-10 16:04:23,116 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=11)
DEBUG flower 2021-04-10 16:04:23,117 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:04:23,138 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:04:23,138 | numpy_client.py:172 | fit, FitIns(clock=12)
DEBUG flower 2021-04-10 16:04:23,138 | numpy_client.py:260 | cached_clock: 9, curr_clock: 12
INFO flower 2021-04-10 16:04:23,138 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:04:23,139 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:05:36,201 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:05:36,201 | numpy_client.py:228 | read: ReadRes(clock=10)
DEBUG flower 2021-04-10 16:05:36,209 | numpy_client.py:172 | fit, FitIns(clock=12)
DEBUG flower 2021-04-10 16:05:36,209 | numpy_client.py:260 | cached_clock: 10, curr_clock: 12
