INFO flower 2021-04-07 23:19:11,138 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.4.46:44822
INFO flower 2021-04-07 23:19:11,165 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.22.36:47530
INFO flower 2021-04-07 23:19:11,207 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.53.37:44358
INFO flower 2021-04-07 23:19:11,237 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.23.26:33284
INFO flower 2021-04-07 23:19:11,271 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.55.26:56068
INFO flower 2021-04-07 23:19:11,343 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.2.43:46668
INFO flower 2021-04-07 23:19:11,379 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.7.44:52372
INFO flower 2021-04-07 23:19:11,389 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.44.36:43308
INFO flower 2021-04-07 23:19:11,390 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.48.37:51034
INFO flower 2021-04-07 23:19:11,400 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.41.35:33938
INFO flower 2021-04-07 23:19:11,422 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.6.46:42736
INFO flower 2021-04-07 23:19:11,428 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.42.24:51988
INFO flower 2021-04-07 23:19:11,502 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.37.25:54860
INFO flower 2021-04-07 23:19:11,539 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.59.24:34344
INFO flower 2021-04-07 23:19:11,580 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.53.37:44358
INFO flower 2021-04-07 23:19:11,583 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.8.46:38402
INFO flower 2021-04-07 23:19:11,612 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.38.36:34440
INFO flower 2021-04-07 23:19:11,637 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.2.43:46668
INFO flower 2021-04-07 23:19:11,661 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.50.34:51550
INFO flower 2021-04-07 23:19:11,664 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.35.36:54770
INFO flower 2021-04-07 23:19:11,667 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.55.26:56068
INFO flower 2021-04-07 23:19:11,671 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.34.26:48292
INFO flower 2021-04-07 23:19:11,684 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.5.44:58378
INFO flower 2021-04-07 23:19:11,700 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.7.44:52372
INFO flower 2021-04-07 23:19:11,708 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.44.36:43308
INFO flower 2021-04-07 23:19:11,730 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.46.27:35472
INFO flower 2021-04-07 23:19:11,747 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.41.35:33938
INFO flower 2021-04-07 23:19:11,758 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.3.45:35140
INFO flower 2021-04-07 23:19:11,808 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.42.24:51988
INFO flower 2021-04-07 23:19:11,832 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.29.26:56044
INFO flower 2021-04-07 23:19:11,841 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.59.24:34344
INFO flower 2021-04-07 23:19:11,857 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.51.37:50526
INFO flower 2021-04-07 23:19:11,859 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.8.46:38402
INFO flower 2021-04-07 23:19:11,859 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.37.25:54860
INFO flower 2021-04-07 23:19:11,874 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.38.36:34440
INFO flower 2021-04-07 23:19:11,911 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.50.34:51550
INFO flower 2021-04-07 23:19:11,924 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.26.33:42484
INFO flower 2021-04-07 23:19:11,926 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.35.36:54770
INFO flower 2021-04-07 23:19:11,960 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.5.44:58378
INFO flower 2021-04-07 23:19:11,994 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.34.26:48292
INFO flower 2021-04-07 23:19:12,007 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.57.38:60900
INFO flower 2021-04-07 23:19:12,016 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.46.27:35472
INFO flower 2021-04-07 23:19:12,041 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.3.45:35140
INFO flower 2021-04-07 23:19:12,045 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.36.25:52900
INFO flower 2021-04-07 23:19:12,089 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.4.46:44822
INFO flower 2021-04-07 23:19:12,091 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.29.26:56044
INFO flower 2021-04-07 23:19:12,134 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.51.37:50526
INFO flower 2021-04-07 23:19:12,201 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.26.33:42484
INFO flower 2021-04-07 23:19:12,287 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.57.38:60900
INFO flower 2021-04-07 23:19:12,316 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.36.25:52900
INFO flower 2021-04-07 23:19:12,365 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.4.46:44822
INFO flower 2021-04-07 23:19:16,332 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.53.37:44358
WARNING flower 2021-04-07 23:19:16,352 | server_ssp.py:169 | 7 parameter layers very similar in total 7
INFO flower 2021-04-07 23:19:16,354 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.53.37:44358
INFO flower 2021-04-07 23:19:16,354 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.53.37:44358
INFO flower 2021-04-07 23:19:16,829 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.47.23:44160
WARNING flower 2021-04-07 23:19:16,846 | server_ssp.py:169 | 7 parameter layers very similar in total 7
INFO flower 2021-04-07 23:19:16,848 | server_ssp.py:134 | server starts round 1 for client ipv4:10.244.47.23:44160
INFO flower 2021-04-07 23:19:16,848 | server_ssp.py:137 | server send FitIns(clock=1) to client ipv4:10.244.47.23:44160
INFO flower 2021-04-07 23:19:17,331 | server_ssp.py:158 | server receives FitRes(clock=0) from client ipv4:10.244.30.34:38922
WARNING flower 2021-04-07 23:19:17,349 | server_ssp.py:169 | 7 parameter layers very similar in total 7
